model_name,model_id,mae,mse,rmse,mape,mspe,rse
PatchTST,PatchTST_AAPL_336_96,39942.05,126581770000.0,355783.3,8117.9443,5239081500000.0,0.63698465
Autoformer,Autoformer_AAPL_336_96,71416.18,248251920000.0,498248.84,1049.756,137622000000.0,0.892051
Transformer,Transformer_AAPL_336_96,70897.81,243828560000.0,493790.0,1978.8412,277139400000.0,0.884068
DLinear,DLinear_AAPL_336_96,54026.273,173878690000.0,416987.62,4042.9102,1458389100000.0,0.7465632
