Timestamp,Open,High,Low,Close,Volume,SMA_10,SMA_50,SMA_100,EMA_10,EMA_50,EMA_100,RSI_10,RSI_50,RSI_100,VWAP,MACD,MACD_Hist,MACD_Signal,sentiment
2022-03-01 04:00:00,43.156,43.185,43.096,43.135,109.0,42.8231,42.4416,42.6795,42.8231,42.4416,42.6795,35.0865,38.7212,53.2106,43.1387,-0.1734,-0.0567,-0.1168,1.0
2022-03-01 04:15:00,43.0,43.029,42.94,42.978,608.0,42.8231,42.4416,42.6795,42.8231,42.4416,42.6795,35.0865,38.7212,53.2106,43.0061,-0.1734,-0.0567,-0.1168,0.0
2022-03-01 04:30:00,42.816,42.9,42.757,42.841,841.0,42.8231,42.4416,42.6795,42.8231,42.4416,42.6795,35.0865,38.7212,53.2106,42.9125,-0.1734,-0.0567,-0.1168,0.0
2022-03-01 05:00:00,43.018,43.047,42.959,42.997,100.0,42.8231,42.4416,42.6795,42.8231,42.4416,42.6795,35.0865,38.7212,53.2106,42.9178,-0.1734,-0.0567,-0.1168,0.0
2022-03-01 05:15:00,42.936,42.965,42.876,42.914,100.0,42.8231,42.4416,42.6795,42.8231,42.4416,42.6795,35.0865,38.7212,53.2106,42.9178,-0.1734,-0.0567,-0.1168,0.0
2022-03-01 05:45:00,42.871,42.9,42.812,42.85,100.0,42.8231,42.4416,42.6795,42.8231,42.4416,42.6795,35.0865,38.7212,53.2106,42.9144,-0.1734,-0.0567,-0.1168,0.0
2022-03-01 06:45:00,42.825,42.854,41.958,42.399,8209.0,42.8231,42.4416,42.6795,42.8231,42.4416,42.6795,35.0865,38.7212,53.2106,42.4979,-0.1734,-0.0567,-0.1168,0.0
2022-03-01 07:00:00,42.623,42.781,42.545,42.666,2471.0,42.8231,42.4416,42.6795,42.8231,42.4416,42.6795,35.0865,38.7212,53.2106,42.5307,-0.1734,-0.0567,-0.1168,0.0
2022-03-01 07:15:00,42.724,42.781,42.646,42.73,3758.0,42.8231,42.4416,42.6795,42.8231,42.4416,42.6795,35.0865,38.7212,53.2106,42.5741,-0.1734,-0.0567,-0.1168,0.0
2022-03-01 07:30:00,42.789,42.873,42.683,42.721,11423.0,42.8231,42.4416,42.6795,42.8231,42.4416,42.6795,35.0865,38.7212,53.2106,42.6503,-0.1734,-0.0567,-0.1168,0.0
