Timestamp,Open,High,Low,Close,Volume
2022-01-03,30.0700,31.9700,29.9800,31.7200,18781510
2022-01-04,32.1400,33.5250,32.1300,33.2600,17953951
2022-01-05,33.6150,34.0700,33.2400,33.2600,15846869
2022-01-06,34.3700,34.4250,33.4400,34.0500,11163886
2022-01-07,34.0150,35.1350,34.0000,35.0300,14324304
2022-01-10,34.9700,35.3900,34.4800,35.1200,15515561
2022-01-11,35.4000,36.5300,35.2300,36.4800,15278655
2022-01-12,36.5200,36.7600,35.9500,36.4500,13196823
2022-01-13,36.4700,37.1200,36.0300,36.1700,12799569
2022-01-14,36.2300,37.9000,36.1300,37.8100,17414047
2022-01-18,38.1100,38.5300,36.9900,37.5400,17394501
2022-01-19,37.8300,37.9900,36.6250,37.1000,10800549
2022-01-20,36.6700,38.3300,36.6700,37.0500,14720155
2022-01-21,37.5500,37.6000,35.6800,36.3600,15762206
2022-01-24,35.2900,36.6800,34.6800,36.6000,17959501
2022-01-25,36.5100,39.0000,35.7592,38.7900,24167092
2022-01-26,39.0600,40.2800,38.4200,39.8000,25985105
2022-01-27,40.2550,41.0400,38.2200,38.8600,24358370
2022-01-28,38.9200,40.3400,38.6900,39.6800,18155002
2022-01-31,39.2300,39.5750,38.6300,39.0700,16444605
2022-02-01,38.7700,39.8600,38.4400,39.5200,18791984
2022-02-02,39.5700,39.5700,38.6400,39.2500,16356588
2022-02-03,39.4300,39.4300,38.4050,38.5800,12302076
2022-02-04,39.0200,39.6000,38.5100,38.5100,19955420
2022-02-07,38.2400,40.8800,38.0401,40.2700,20523708
2022-02-08,40.0500,40.1400,38.5800,38.9000,13575873
2022-02-09,39.0100,39.7200,38.8600,39.4000,12472464
2022-02-10,39.1800,40.5600,38.9400,39.1700,11082712
2022-02-11,39.4100,40.7400,39.0900,40.6200,15533584
2022-02-14,40.4000,40.4300,39.0000,39.3000,12804405
2022-02-15,38.4400,40.1800,38.1222,40.0900,14928347
2022-02-16,40.6700,42.6400,40.6500,41.6900,21249769
2022-02-17,41.0900,41.5500,40.8100,41.1100,9526698
2022-02-18,40.4900,41.1050,39.7139,40.2100,11301497
2022-02-22,41.4300,41.5591,38.9600,39.5500,20813363
2022-02-23,39.8000,40.3800,39.3948,39.7400,9462277
2022-02-24,39.7400,39.9800,37.2943,38.3200,21602389
2022-02-25,38.4400,39.5950,38.2900,39.4500,11382045
2022-02-28,38.8800,39.2700,37.9700,39.2400,14946264
2022-03-01,39.6400,39.9200,36.6700,37.6700,20586238
2022-03-02,38.5700,39.4700,38.1900,39.2400,16209110
2022-03-03,38.6300,38.8300,37.5200,38.5200,22756073
2022-03-04,38.1500,39.0650,37.7000,38.9400,22923473
2022-03-07,39.4950,43.4000,39.3800,42.1000,29778886
2022-03-08,43.0500,46.2700,43.0500,45.0800,41068138
2022-03-09,43.3900,44.2800,41.5000,42.5600,30347185
2022-03-10,43.1000,43.7200,42.0900,43.4000,15498347
2022-03-11,42.6800,43.7000,42.4400,42.9000,13251196
2022-03-14,42.0650,42.0700,40.8400,41.5500,14389361
2022-03-15,39.8200,40.5500,38.6900,39.2600,17239005
2022-03-16,39.3700,39.8800,37.6000,37.8800,27499160
2022-03-17,38.7500,39.8350,38.3100,39.5100,37986318
2022-03-18,39.4500,40.2900,39.1400,39.7300,27934029
2022-03-21,40.6700,41.4850,40.5200,41.1900,19252962
2022-03-22,41.2000,42.0100,40.8700,41.2000,15454894
2022-03-23,42.1200,42.8700,41.9900,42.4100,19967469
2022-03-24,42.4900,43.7150,42.3100,42.6400,16281374
2022-03-25,42.4700,43.6950,42.2700,43.6800,12157795
2022-03-28,42.6000,42.6400,41.4400,41.7300,13984184
2022-03-29,40.4900,42.8000,40.1900,42.6300,13207463
2022-03-30,42.8300,43.4500,41.9450,42.2100,10201651
2022-03-31,41.6900,42.4100,41.2400,41.3100,11618747
2022-04-01,41.2000,42.4700,41.1800,41.6900,12210576
2022-04-04,41.9200,42.2700,40.7400,41.5500,10635194
2022-04-05,41.4700,42.3600,40.3800,40.4600,9728550
2022-04-06,40.9700,41.3400,40.3200,40.7800,8726614
2022-04-07,41.0100,41.4600,39.7400,40.9700,8895794
2022-04-08,41.3300,42.7200,41.1100,42.5500,10526419
2022-04-11,42.6400,42.6400,41.2700,41.3300,7999047
2022-04-12,41.9900,42.9100,41.2950,41.5300,8112764
2022-04-13,42.1000,42.6650,41.5100,42.5700,8596068
2022-04-14,42.3600,43.4700,42.1400,43.2500,10714509
2022-04-18,43.5500,44.4400,43.1500,43.6800,11127912
2022-04-19,43.1300,44.5100,43.0000,43.4300,10033712
2022-04-20,43.5700,43.8700,41.7800,42.6800,11876934
2022-04-21,43.3400,43.4300,40.1150,40.6500,18181527
