Timestamp,Open,High,Low,Close,Volume
2022-01-03,269.4900,270.7300,265.5600,268.5800,2750906
2022-01-04,269.5000,271.1500,268.2700,268.5100,2506018
2022-01-05,269.3000,270.2800,266.9000,267.1900,2473043
2022-01-06,268.1200,270.7600,267.8000,269.6900,2908568
2022-01-07,268.5600,270.1700,267.0000,267.0600,2209088
2022-01-10,266.7150,266.7200,262.0100,264.4100,3122526
2022-01-11,263.4900,263.9500,260.3200,262.1200,3074513
2022-01-12,263.3700,263.9500,260.2800,260.9200,3043954
2022-01-13,261.4100,263.8500,260.5883,261.4100,2371250
2022-01-14,261.1400,261.2400,257.1600,257.7100,3460060
2022-01-18,256.9600,257.1000,254.3100,256.4800,2864350
2022-01-19,257.5500,257.9500,255.0800,255.2200,2116659
2022-01-20,256.6200,258.1100,252.9000,253.1300,2602190
2022-01-21,254.0400,258.4600,253.6850,254.5900,3738309
2022-01-24,252.3800,253.9176,247.7750,253.6100,5155195
2022-01-25,250.8300,252.5300,247.0701,250.6800,3908580
2022-01-26,253.0000,254.2100,247.8600,249.8500,3838994
2022-01-27,249.6000,252.4640,245.2500,248.7400,5201054
2022-01-28,250.0000,256.3453,247.1600,256.0900,3833241
2022-01-31,255.0200,259.5000,254.4400,259.4500,3174167
2022-02-01,259.7500,259.9000,255.5800,258.9900,2496547
2022-02-02,258.8300,262.6100,258.4900,262.2800,2371460
2022-02-03,262.0000,262.8000,260.0700,260.6400,2242396
2022-02-04,259.8700,261.7300,257.7900,260.0600,1989682
2022-02-07,261.0000,261.5800,259.1700,259.8500,1959336
2022-02-08,260.5000,262.3800,259.1000,260.0800,2920071
2022-02-09,261.9900,262.8800,259.4100,259.8600,2379345
2022-02-10,258.5950,260.4400,255.9650,256.8700,3246762
2022-02-11,256.8700,258.7600,254.7300,255.1600,3592716
2022-02-14,255.9100,256.2500,251.6750,253.3900,2825835
2022-02-15,254.8200,256.9200,253.5600,253.8100,2171763
2022-02-16,253.7700,254.6000,251.2000,253.0900,2941810
