Timestamp,Open,High,Low,Close,Volume,SMA_10,SMA_50,SMA_100,EMA_10,EMA_50,EMA_100,RSI_10,RSI_50,RSI_100,VWAP,MACD,MACD_Hist,MACD_Signal
2022-01-03 08:00:00,135.2810,135.3560,135.2340,135.3180,101,133.4265,132.8564,131.6850,133.4265,132.8564,131.6850,16.8768,32.3768,40.7927,135.3027,0.0914,0.1195,-0.0281
2022-01-03 08:45:00,135.4730,135.5480,135.2340,135.3180,2365,133.4265,132.8564,131.6850,133.4265,132.8564,131.6850,16.8768,32.3768,40.7927,135.3640,0.0914,0.1195,-0.0281
2022-01-03 09:00:00,135.0900,135.7110,134.7550,134.8450,1463,133.4265,132.8564,131.6850,133.4265,132.8564,131.6850,16.8768,32.3768,40.7927,135.2671,0.0914,0.1195,-0.0281
2022-01-03 09:15:00,134.8020,135.3560,133.7480,133.8300,4870,133.4265,132.8564,131.6850,133.4265,132.8564,131.6850,16.8768,32.3768,40.7927,134.7381,0.0914,0.1195,-0.0281
2022-01-03 09:30:00,133.7750,134.2320,132.2230,132.5060,321200,133.4265,132.8564,131.6850,133.4265,132.8564,131.6850,16.8768,32.3768,40.7927,133.0337,0.0914,0.1195,-0.0281
2022-01-03 09:45:00,132.4990,132.6770,131.6380,131.9780,250536,133.4265,132.8564,131.6850,133.4265,132.8564,131.6850,16.8768,32.3768,40.7927,132.6297,0.0914,0.1195,-0.0281
2022-01-03 10:00:00,131.9620,132.6200,131.5990,132.5350,159553,133.4265,132.8564,131.6850,133.4265,132.8564,131.6850,16.8768,32.3768,40.7927,132.5482,0.0914,0.1195,-0.0281
2022-01-03 10:15:00,132.5090,132.9510,132.4340,132.7410,162636,133.4265,132.8564,131.6850,133.4265,132.8564,131.6850,16.8768,32.3768,40.7927,132.5771,0.0914,0.1195,-0.0281
2022-01-03 10:30:00,132.6910,133.0040,132.4620,132.6400,175533,133.4265,132.8564,131.6850,133.4265,132.8564,131.6850,16.8768,32.3768,40.7927,132.5974,0.0914,0.1195,-0.0281
2022-01-03 10:45:00,132.6240,132.7590,132.2710,132.5540,81267,133.4265,132.8564,131.6850,133.4265,132.8564,131.6850,16.8768,32.3768,40.7927,132.5925,0.0914,0.1195,-0.0281
2022-01-03 11:00:00,132.5230,132.5950,132.1390,132.3230,124109,133.1270,132.8564,131.6850,133.2259,132.8564,131.6850,16.8768,32.3768,40.7927,132.5693,0.0914,0.1195,-0.0281
2022-01-03 11:15:00,132.3070,132.3990,131.8970,132.2800,125573,132.8232,132.8564,131.6850,133.0539,132.8564,131.6850,16.7003,32.3768,40.7927,132.5357,0.0914,0.1195,-0.0281
2022-01-03 11:30:00,132.2300,132.4470,132.0500,132.2660,99494,132.5653,132.8564,131.6850,132.9106,132.8564,131.6850,16.6374,32.3768,40.7927,132.5171,0.0914,0.1195,-0.0281
2022-01-03 11:45:00,132.2500,132.5730,132.0880,132.4190,81774,132.4242,132.8564,131.6850,132.8212,132.8564,131.6850,20.2854,32.3768,40.7927,132.5091,0.0914,0.1195,-0.0281
2022-01-03 12:00:00,132.3360,132.6920,132.2320,132.6550,69138,132.4391,132.8564,131.6850,132.7910,132.8564,131.6850,25.8470,32.3768,40.7927,132.5098,0.0914,0.1195,-0.0281
2022-01-03 12:15:00,132.6240,132.9750,132.4630,132.8660,55983,132.5279,132.8564,131.6850,132.8047,132.8564,131.6850,30.6533,32.3768,40.7927,132.5182,0.0914,0.1195,-0.0281
2022-01-03 12:30:00,132.8350,132.9270,132.6540,132.7770,46445,132.5521,132.8564,131.6850,132.7996,132.8564,131.6850,29.7496,32.3768,40.7927,132.5253,0.0914,0.1195,-0.0281
2022-01-03 12:45:00,132.7390,132.9170,132.4720,132.6210,57178,132.5401,132.8564,131.6850,132.7671,132.8564,131.6850,28.1342,32.3768,40.7927,132.5298,0.0914,0.1195,-0.0281
2022-01-03 13:00:00,132.5760,132.7160,132.4240,132.6690,47467,132.5430,132.8564,131.6850,132.7493,132.8564,131.6850,29.4440,32.3768,40.7927,132.5317,0.0914,0.1195,-0.0281
2022-01-03 13:15:00,132.6240,132.7350,132.3860,132.5080,86612,132.5384,132.8564,131.6850,132.7054,132.8564,131.6850,27.5712,32.3768,40.7927,132.5322,0.0914,0.1195,-0.0281
2022-01-03 13:30:00,132.4800,132.7110,132.3330,132.6740,48074,132.5735,132.8564,131.6850,132.6997,132.8564,131.6850,32.4904,32.3768,40.7927,132.5332,0.0914,0.1195,-0.0281
2022-01-03 13:45:00,132.6430,132.9170,132.5580,132.6980,50690,132.6153,132.8564,131.6850,132.6994,132.8564,131.6850,33.2190,32.3768,40.7927,132.5379,0.0914,0.1195,-0.0281
2022-01-03 14:00:00,132.6910,132.9750,132.6450,132.8700,81209,132.6757,132.8564,131.6850,132.7304,132.8564,131.6850,38.5041,32.3768,40.7927,132.5490,0.0914,0.1195,-0.0281
2022-01-03 14:15:00,132.8160,133.0320,132.6830,132.9090,82345,132.7247,132.8564,131.6850,132.7629,132.8564,131.6850,39.7062,32.3768,40.7927,132.5611,0.0914,0.1195,-0.0281
2022-01-03 14:30:00,132.8830,133.1000,132.7020,133.0430,65294,132.7635,132.8564,131.6850,132.8138,132.8564,131.6850,43.8935,32.3768,40.7927,132.5722,0.0914,0.1195,-0.0281
2022-01-03 14:45:00,133.0080,133.0800,132.8370,133.0340,40194,132.7803,132.8564,131.6850,132.8539,132.8564,131.6850,43.6672,32.3768,40.7927,132.5793,0.0914,0.1195,-0.0281
2022-01-03 15:00:00,132.9880,133.3590,132.8840,133.3220,61334,132.8348,132.8564,131.6850,132.9390,132.8564,131.6850,52.3943,32.3768,40.7927,132.5950,0.0914,0.1195,-0.0281
2022-01-03 15:15:00,133.2710,133.4550,133.0950,133.2260,64686,132.8953,132.8564,131.6850,132.9912,132.8564,131.6850,49.5511,32.3768,40.7927,132.6125,0.0914,0.1195,-0.0281
2022-01-03 15:30:00,133.2140,133.4640,132.9800,133.2160,131933,132.9500,132.8564,131.6850,133.0320,132.8564,131.6850,49.2419,32.3768,40.7927,132.6436,0.0914,0.1195,-0.0281
2022-01-03 15:45:00,133.1520,133.5600,133.0090,133.4370,516558,133.0429,132.8564,131.6850,133.1057,132.8564,131.6850,55.9873,32.3768,40.7927,132.7590,0.0914,0.1195,-0.0281
2022-01-03 16:00:00,133.4010,133.4740,133.3540,133.4370,1037576,133.1192,132.8564,131.6850,133.1659,132.8564,131.6850,55.9873,32.3768,40.7927,132.9254,0.0914,0.1195,-0.0281
2022-01-03 16:45:00,133.4200,133.4930,133.3540,133.4370,1564,133.1931,132.8564,131.6850,133.2152,132.8564,131.6850,55.9873,32.3768,40.7927,132.9256,0.0914,0.1195,-0.0281
2022-01-03 17:45:00,133.1420,133.2150,133.0950,133.1780,750,133.2239,132.8564,131.6850,133.2084,132.8564,131.6850,46.1317,32.3768,40.7927,132.9256,0.0914,0.1195,-0.0281
2022-01-03 18:30:00,133.7460,133.8200,133.7000,133.7820,200,133.3112,132.8564,131.6850,133.3127,132.8564,131.6850,63.0059,32.3768,40.7927,132.9257,0.0914,0.1195,-0.0281
2022-01-03 18:45:00,133.7370,133.9160,133.6900,133.8780,1600,133.3947,132.8564,131.6850,133.4155,132.8564,131.6850,64.9451,32.3768,40.7927,132.9260,0.1346,0.1302,0.0044
2022-01-03 19:15:00,133.8330,133.9060,133.7860,133.8690,100,133.4782,132.8564,131.6850,133.4980,132.8564,131.6850,64.5924,32.3768,40.7927,132.9260,0.1663,0.1295,0.0368
2022-01-03 19:30:00,133.4010,133.9160,133.3540,133.8780,1727,133.5338,132.8564,131.6850,133.5671,132.8564,131.6850,64.8048,32.3768,40.7927,132.9264,0.1899,0.1225,0.0674
2022-01-04 07:45:00,133.5160,133.5890,133.4700,133.5520,347,133.5664,132.8564,131.6850,133.5643,132.8564,131.6850,52.2029,32.3768,40.7927,133.5370,0.1802,0.0903,0.0900
2022-01-04 08:15:00,133.4010,133.4740,133.2680,133.3500,616,133.5798,132.8564,131.6850,133.5253,132.8564,131.6850,46.0392,32.3768,40.7927,133.4263,0.1545,0.0516,0.1029
2022-01-04 08:30:00,133.1230,133.5320,133.0760,133.3600,634,133.5721,132.8564,131.6850,133.4953,132.8564,131.6850,46.3874,32.3768,40.7927,133.3852,0.1334,0.0244,0.1090
2022-01-04 08:45:00,133.3630,133.4360,133.3160,133.3980,490,133.5682,132.8564,131.6850,133.4776,132.8564,131.6850,47.8093,32.3768,40.7927,133.3847,0.1183,0.0075,0.1108
2022-01-04 09:15:00,133.3630,134.4150,133.3160,134.3580,6407,133.6603,132.8564,131.6850,133.6377,132.8564,131.6850,70.0825,32.3768,40.7927,133.8712,0.1818,0.0567,0.1250
2022-01-04 09:30:00,133.8420,134.0600,132.2900,132.4820,201752,133.5907,132.8564,131.6850,133.4275,132.8564,131.6850,36.3756,32.3768,40.7927,132.9815,0.0798,-0.0362,0.1160
2022-01-04 09:45:00,132.4800,132.7680,131.8870,132.2660,159980,133.4391,132.8564,131.6850,133.2164,132.8564,131.6850,34.2672,32.3768,40.7927,132.6900,-0.0183,-0.1074,0.0891
