Timestamp,Open,High,Low,Close,Volume
2022-01-03,170.2100,171.6000,169.1000,171.5400,6012777
2022-01-04,171.0600,172.2900,170.5950,171.0800,6748363
2022-01-05,172.0000,173.4700,171.6200,172.2200,7016099
2022-01-06,172.1500,172.5000,170.8000,171.6300,7301633
2022-01-07,171.4600,174.3000,171.1300,173.9500,6986006
2022-01-10,173.6900,173.6900,172.1550,173.0900,7698444
2022-01-11,172.9900,173.3900,170.1100,171.2500,8126404
2022-01-12,169.6100,170.0800,168.3400,169.7900,8116205
2022-01-13,169.0000,170.4200,168.4600,168.7600,6159444
2022-01-14,168.6250,168.6500,167.1500,167.8400,5847839
2022-01-18,167.1000,167.7150,166.0100,167.1000,7329346
2022-01-19,167.2000,168.7200,166.3165,166.5800,5921517
2022-01-20,167.2900,167.8590,164.9300,165.2500,6011300
2022-01-21,166.1900,167.9900,164.4700,164.8700,10550302
2022-01-24,164.0000,164.1700,158.2600,162.9700,14087602
2022-01-25,162.3600,168.4100,161.5800,167.6300,14081247
2022-01-26,167.5400,169.2200,166.2300,168.3800,9963229
2022-01-27,169.3900,171.9100,169.0000,170.5900,9068738
2022-01-28,170.8600,171.8400,169.3000,171.7900,9783217
2022-01-31,171.5000,172.6200,170.8200,172.2900,8054895
2022-02-01,171.7400,171.9800,169.4300,170.8800,8154721
2022-02-02,169.6500,172.9900,169.6500,172.7700,7382821
2022-02-03,172.2600,173.6200,171.0400,172.7600,6240613
2022-02-04,171.0000,172.9800,170.1185,171.6300,6392155
2022-02-07,171.4100,171.7400,170.0100,171.0600,6065670
2022-02-08,171.0200,172.0500,170.4800,171.5100,6296300
2022-02-09,172.0700,172.2400,171.2500,171.4900,5387540
2022-02-10,171.2100,171.2200,169.3000,169.4200,10355349
2022-02-11,169.1200,170.1500,167.5400,167.7100,13125328
2022-02-14,167.7100,167.9700,163.8100,165.6000,8967638
2022-02-15,166.1300,168.1000,166.0100,167.3100,6632823
2022-02-16,166.4900,167.8400,165.7114,167.2100,8482618
2022-02-17,167.2100,167.4500,164.9200,166.1900,6227569
2022-02-18,164.9800,165.3600,162.9400,163.3600,6423165
2022-02-22,163.5750,163.7400,160.4400,161.1400,6773079
2022-02-23,161.5100,162.6390,160.8500,161.2200,8016903
2022-02-24,159.7800,160.1300,155.7200,158.1400,12883436
2022-02-25,160.0000,166.9850,159.7000,166.0000,11340354
2022-02-28,162.8700,165.1800,162.3802,164.5700,9373511
2022-03-01,163.0400,164.7500,162.4079,164.0000,8737846
2022-03-02,164.4100,167.6300,164.0400,166.0400,6793377
2022-03-03,166.7000,169.3350,166.3200,168.4800,7333736
2022-03-04,167.6400,169.8600,166.8500,169.4800,6302672
2022-03-07,168.3000,173.1200,167.3600,172.2100,11663353
2022-03-08,172.0400,173.1200,168.5100,168.7200,11100340
2022-03-09,170.0100,170.2300,167.8900,169.3600,7248218
2022-03-10,168.5600,170.1500,168.0750,169.6600,6171649
2022-03-11,169.1300,171.4600,169.0200,169.3500,5188196
2022-03-14,170.6800,174.1200,170.3500,171.6900,7729453
2022-03-15,173.3300,176.5200,172.5500,176.1400,10554596
2022-03-16,175.4600,176.9500,172.5600,174.5200,9603324
2022-03-17,175.2100,176.8400,174.2000,176.8000,7472219
2022-03-18,177.0000,177.0000,173.6600,174.8400,13324677
2022-03-21,174.6600,177.1600,174.3200,175.8300,7508983
2022-03-22,175.8300,176.3700,173.9100,175.0000,7800462
2022-03-23,175.2300,175.5400,174.0900,174.3400,5254350
2022-03-24,175.0000,175.5400,174.0700,175.2400,5012277
2022-03-25,175.6900,177.7000,175.2200,176.9200,4723053
2022-03-28,176.6500,178.1790,176.3500,177.8300,5604162
2022-03-29,178.6200,179.4000,176.8000,177.7400,5933444
2022-03-30,178.4400,179.8600,177.6800,179.5900,6277556
2022-03-31,179.5900,180.2100,176.9800,177.2300,11490395
2022-04-01,177.0500,178.4300,175.6000,178.1900,6525643
2022-04-04,178.1900,178.1900,175.5200,176.4700,6860771
2022-04-05,176.4700,179.6500,176.2900,177.6100,7284104
2022-04-06,179.3900,182.6000,178.6200,182.2300,10330886
2022-04-07,181.6700,182.9500,180.2300,181.7600,7385179
2022-04-08,181.3300,183.1870,180.4300,182.1200,7144608
2022-04-11,183.0000,184.2000,179.6000,179.8400,5932040
2022-04-12,179.2000,180.8100,178.2000,179.9000,5957536
2022-04-13,179.9000,180.8400,179.2400,180.6600,5643118
2022-04-14,180.0000,181.4000,179.7300,179.9000,6188193
2022-04-18,179.7300,180.3900,176.7400,177.6600,6318656
2022-04-19,180.7200,185.9400,179.9500,183.0800,14380839
2022-04-20,182.2400,184.3200,181.9000,183.8900,7958165
2022-04-21,183.9300,184.8700,182.5600,183.3600,6969405
2022-04-22,182.4700,183.1500,181.3800,181.5400,8003593
2022-04-25,182.3400,186.6900,182.1000,186.0100,11176501
2022-04-26,185.1000,186.5700,184.1808,184.6800,10066557
2022-04-27,184.2400,184.8200,181.7400,182.1000,11090331
2022-04-28,182.2500,184.5000,181.9200,183.4600,9405147
2022-04-29,182.5000,182.5450,180.2000,180.4600,8464103
2022-05-02,180.4700,181.4100,177.0300,178.6400,7145420
2022-05-03,178.8000,180.6300,177.6800,178.2900,5898660
2022-05-04,178.1500,180.5000,177.1500,180.2000,5856999
2022-05-05,179.4200,179.7100,175.2700,176.7600,7089184
2022-05-06,175.1400,176.8700,174.6900,176.3700,6434011
2022-05-09,175.4500,178.5600,174.5900,177.3300,7855212
2022-05-10,178.2300,179.1800,176.5000,177.0900,8186717
2022-05-11,175.9600,178.3200,175.8800,176.1300,6138896
