model_name,model_id,mae,mse,rmse,mape,mspe,rse
AAPL,PatchTST_AAPL_without_sentiment_336_96,2.4987988,11.743771,3.4269185,0.017650701,0.00058734627,0.57714045
AAPL_S,PatchTST_AAPL_with_sentiment_336_96,2.4972272,11.727839,3.4245932,0.017640883,0.0005866412,0.57858706
AAPL_CS,PatchTST_AAPL_with_correct_sentiment_336_96,2.5102105,12.190002,3.4914184,0.017641071,0.0006008406,0.6167023
